timestamp,1153_transform_pitch,1153_transform_yaw,1153_transform_roll,1153_vel_x (m/s),1153_vel_y (m/s),1153_vel_z (m/s),1153_angular_vel_x (rad/s),1153_angular_vel_y (rad/s),1153_angular_vel_z (rad/s),1153_acc_x (m/s²),1153_acc_y (m/s²),1153_acc_z (m/s²) gravity,1154_transform_pitch,1154_transform_yaw,1154_transform_roll,1154_vel_x (m/s),1154_vel_y (m/s),1154_vel_z (m/s),1154_angular_vel_x (rad/s),1154_angular_vel_y (rad/s),1154_angular_vel_z (rad/s),1154_acc_x (m/s²),1154_acc_y (m/s²),1154_acc_z (m/s²) gravity
1576242970255,0.17,-1.2,0.34,6.83,0.08,-0.0,2.53,-0.31,9.09,-2.25,-2.45,0.0,0.19,179.05,0.96,-6.41,0.52,-0.0,0.66,0.18,-18.82,-1.56,-1.39,-0.01
1576242970371,0.18,-1.13,0.07,6.71,-0.2,0.0,5.41,-0.32,-1.37,-2.45,-5.58,0.0,0.17,178.81,0.63,-6.33,0.18,-0.0,-9.0,-0.39,1.33,1.62,-6.92,0.01
1576242970491,0.19,-1.45,-0.21,6.57,-0.46,0.0,5.04,-0.34,-8.19,-2.79,-5.25,-0.0,0.16,179.41,0.05,-6.34,-0.21,0.0,-12.42,0.09,17.18,-0.17,-7.78,0.01
1576242970605,0.2,-1.75,-0.2,6.47,-0.34,-0.0,-1.42,-0.05,-5.66,-2.04,2.5,-0.0,0.24,-179.89,-0.28,-6.69,-0.24,0.0,-4.78,1.84,12.9,-7.06,-0.59,-0.01
1576242970729,0.2,-1.85,-0.08,6.39,-0.24,0.0,-2.08,0.12,-0.23,-1.6,1.98,0.0,0.33,-179.27,-0.45,-7.0,-0.33,-0.0,-2.89,1.8,12.3,-6.27,-1.88,-0.01
1576242970844,0.19,-1.73,0.1,6.32,-0.04,0.0,-3.54,0.27,2.99,-1.33,4.0,-0.0,0.4,-179.21,-0.25,-7.27,-0.03,-0.0,6.78,1.39,-4.85,-5.33,6.08,0.0
1576242970971,0.18,-1.38,0.22,6.29,0.08,-0.0,-1.9,0.39,8.84,-0.75,2.23,-0.0,0.46,-179.85,0.17,-7.51,0.25,0.0,8.15,0.99,-15.27,-4.8,5.51,0.0
1576242971084,0.16,-1.11,0.2,6.31,0.02,-0.0,0.95,0.59,3.94,0.43,-1.04,0.0,0.5,179.28,0.51,-7.74,0.43,-0.0,6.08,0.67,-18.3,-4.7,3.78,-0.0
1576242971221,0.12,-1.01,0.07,6.37,-0.11,0.0,2.56,0.8,1.53,1.24,-2.69,0.0,0.53,178.72,0.54,-7.99,0.36,-0.0,-0.4,0.58,-9.05,-4.86,-1.49,-0.0
1576242971333,0.07,-1.19,-0.11,6.45,-0.3,0.0,3.22,0.89,-5.43,1.69,-3.69,-0.0,0.54,178.91,0.2,-8.17,-0.01,0.0,-9.42,0.29,10.43,-3.64,-7.47,0.01
